,num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
0,1; ABC; 6/2/2022; 13:13:11; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
1,2; ABC; 6/2/2022; 13:23:20; 600; 600; 504818; 11666; 15848; 612; 0.00; 0.00; 0.00; 44330.00
2,3; ABC; 6/2/2022; 13:33:21; 1202; 600; 573015; 13953; 23242; 602; 0.00; 0.00; 0.00; 44330.00
3,4; ABC; 6/2/2022; 13:43:22; 1802; 600; 656569; 16504; 32213; 669; 0.00; 0.00; 0.00; 44330.00
4,5; ABC; 6/2/2022; 13:53:22; 2402; 600; 728346; 19374; 39976; 636; 0.00; 0.00; 0.00; 44330.00
5,6; ABC; 6/2/2022; 14:3:23; 3003; 600; 783767; 21471; 46504; 634; 0.00; 0.00; 0.00; 44330.00
6,7; ABC; 6/2/2022; 14:13:23; 3604; 600; 832109; 23285; 48588; 610; 0.00; 0.00; 0.00; 44330.00
7,8; ABC; 6/2/2022; 14:23:24; 4204; 600; 867967; 25043; 50305; 684; 0.00; 0.00; 0.00; 44330.00
8,9; ABC; 6/2/2022; 14:33:25; 4805; 600; 882809; 25460; 53088; 644; 0.00; 0.00; 0.00; 44330.00
9,10; ABC; 6/2/2022; 14:43:25; 5405; 600; 893258; 26298; 55465; 618; 0.00; 0.00; 0.00; 44330.00
10,11; ABC; 6/2/2022; 14:53:25; 6005; 600; 898954; 26970; 58251; 698; 0.00; 0.00; 0.00; 44330.00
11,12; ABC; 6/2/2022; 15:3:25; 6606; 600; 917586; 27702; 60418; 662; 0.00; 0.00; 0.00; 44330.00
12,13; ABC; 6/2/2022; 15:13:26; 7206; 600; 931212; 28409; 60362; 700; 0.00; 0.00; 0.00; 44330.00
13,14; ABC; 6/2/2022; 15:23:26; 7806; 600; 937563; 28896; 63033; 646; 0.00; 0.00; 0.00; 44330.00
14,15; ABC; 6/2/2022; 15:33:26; 8406; 600; 944442; 29263; 65186; 668; 0.00; 0.00; 0.00; 44330.00
15,16; ABC; 6/2/2022; 15:43:26; 9006; 600; 944402; 29425; 67082; 663; 0.00; 0.00; 0.00; 44330.00
16,17; ABC; 6/2/2022; 15:53:26; 9606; 600; 948537; 29818; 68160; 653; 0.00; 0.00; 0.00; 44330.00
17,18; ABC; 6/2/2022; 16:3:26; 10206; 600; 948579; 30167; 68831; 637; 0.00; 0.00; 0.00; 44330.00
18,19; ABC; 6/2/2022; 16:13:27; 10807; 600; 951812; 30547; 69150; 608; 0.00; 0.00; 0.00; 44330.00
19,20; ABC; 6/2/2022; 16:23:28; 11408; 600; 959565; 30811; 69110; 658; 0.00; 0.00; 0.00; 44330.00
20,1; ABC; 6/2/2022; 4:53:3; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
21,2; ABC; 6/2/2022; 5:3:11; 600; 600; 9473; 351442; 4617; 549; 0.00; 0.00; 0.00; 44330.00
22,3; ABC; 6/2/2022; 5:13:12; 1200; 600; 10370; 400050; 4780; 566; 0.00; 0.00; 0.00; 44330.00
23,4; ABC; 6/2/2022; 5:23:11; 1800; 600; 11795; 466479; 5358; 598; 0.00; 0.00; 0.00; 44330.00
24,5; ABC; 6/2/2022; 5:33:12; 2400; 600; 13565; 552698; 7557; 606; 0.00; 0.00; 0.00; 44330.00
25,6; ABC; 6/2/2022; 5:43:13; 3002; 600; 15393; 630925; 10907; 625; 0.00; 0.00; 0.00; 44330.00
26,7; ABC; 6/2/2022; 5:53:14; 3602; 600; 17078; 690596; 14223; 606; 0.00; 0.00; 0.00; 44330.00
27,8; ABC; 6/2/2022; 6:3:14; 4202; 600; 17668; 722438; 15991; 592; 0.00; 0.00; 0.00; 44330.00
28,9; ABC; 6/2/2022; 6:13:14; 4802; 600; 18088; 728243; 14374; 648; 0.00; 0.00; 0.00; 44330.00
29,10; ABC; 6/2/2022; 6:23:14; 5402; 600; 16867; 674550; 9011; 587; 0.00; 0.00; 0.00; 44330.00
30,11; ABC; 6/2/2022; 6:33:14; 6002; 600; 15473; 621305; 7102; 629; 0.00; 0.00; 0.00; 44330.00
31,12; ABC; 6/2/2022; 6:43:15; 6603; 600; 15173; 608248; 7367; 621; 0.00; 0.00; 0.00; 44330.00
